From	To	Species	Gene Name
ENSG00000196793	NM_001099282	Homo sapiens	zinc finger protein 239
ENSG00000109101	NM_003593	Homo sapiens	forkhead box N1
ENSG00000128573	NM_148898	Homo sapiens	forkhead box P2
ENSG00000128573	NM_148899	Homo sapiens	forkhead box P2
ENSG00000128573	NM_014491	Homo sapiens	forkhead box P2
ENSG00000141510	NM_001126113	Homo sapiens	tumor protein p53
ENSG00000141510	NM_001126112	Homo sapiens	tumor protein p53
ENSG00000141510	NM_000546	Homo sapiens	tumor protein p53
ENSG00000141510	NM_001126116	Homo sapiens	tumor protein p53
ENSG00000141510	NM_001126117	Homo sapiens	tumor protein p53
ENSG00000141510	NM_001126114	Homo sapiens	tumor protein p53
ENSG00000141510	NM_001126115	Homo sapiens	tumor protein p53
ENSG00000198315	NM_006298	Homo sapiens	zinc finger protein 192
ENSG00000197841	NM_001145665	Homo sapiens	zinc finger protein 181
ENSG00000197841	NM_001029997	Homo sapiens	zinc finger protein 181
ENSG00000170577	NM_016932	Homo sapiens	SIX homeobox 2
ENSG00000065978	NM_004559	Homo sapiens	Y box binding protein 1
ENSG00000186350	NM_002957	Homo sapiens	retinoid X receptor, alpha
ENSG00000157429	NM_006961	Homo sapiens	zinc finger protein 19
ENSG00000108264	NM_001166105	Homo sapiens	transcriptional adaptor 2 (ADA2 homolog, yeast)-like
ENSG00000108264	NM_001488	Homo sapiens	transcriptional adaptor 2 (ADA2 homolog, yeast)-like
ENSG00000108264	NM_133439	Homo sapiens	transcriptional adaptor 2 (ADA2 homolog, yeast)-like
ENSG00000128713	NM_021192	Homo sapiens	homeobox D11
ENSG00000128714	NM_000523	Homo sapiens	homeobox D13
ENSG00000152926	NM_015852	Homo sapiens	zinc finger protein 117
ENSG00000197128	NM_001024596	Homo sapiens	zinc finger protein 772
ENSG00000197128	NM_001144068	Homo sapiens	zinc finger protein 772
ENSG00000103343	NM_001032292	Homo sapiens	zinc finger protein 174
ENSG00000103343	NM_003450	Homo sapiens	zinc finger protein 174
ENSG00000128710	NM_002148	Homo sapiens	homeobox D10
ENSG00000076108	NM_013449	Homo sapiens	bromodomain adjacent to zinc finger domain, 2A
ENSG00000129194	NM_006942	Homo sapiens	SRY (sex determining region Y)-box 15
ENSG00000197123	XM_002346880	Homo sapiens	zinc finger protein 679; zinc finger protein 735
ENSG00000197123	XM_001719651	Homo sapiens	zinc finger protein 679; zinc finger protein 735
ENSG00000197123	XM_002344353	Homo sapiens	zinc finger protein 679; zinc finger protein 735
ENSG00000197123	XM_001719618	Homo sapiens	zinc finger protein 679; zinc finger protein 735
ENSG00000197123	NM_153363	Homo sapiens	zinc finger protein 679; zinc finger protein 735
ENSG00000197123	NM_001159524	Homo sapiens	zinc finger protein 679; zinc finger protein 735
ENSG00000167967	NM_004424	Homo sapiens	E4F transcription factor 1
ENSG00000106038	NM_001989	Homo sapiens	even-skipped homeobox 1
ENSG00000169016	NM_198256	Homo sapiens	E2F transcription factor 6
ENSG00000197124	NM_033196	Homo sapiens	zinc finger protein 682
ENSG00000197124	NM_001077349	Homo sapiens	zinc finger protein 682
ENSG00000101216	NM_012384	Homo sapiens	glucocorticoid modulatory element binding protein 2
ENSG00000005073	NM_005523	Homo sapiens	homeobox A11
ENSG00000108001	NM_001005463	Homo sapiens	early B-cell factor 3
ENSG00000171443	NM_153219	Homo sapiens	zinc finger protein 524
ENSG00000109132	NM_003924	Homo sapiens	paired-like homeobox 2b
ENSG00000106031	NM_000522	Homo sapiens	homeobox A13
ENSG00000165066	NM_152568	Homo sapiens	NK6 homeobox 3
ENSG00000179627	NM_001137601	Homo sapiens	zinc finger and BTB domain containing 42
ENSG00000101412	NM_005225	Homo sapiens	E2F transcription factor 1
ENSG00000198300	NM_006210	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_001146326	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_001146327	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_001146184	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_001146185	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_001146186	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_001146187	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000198300	NM_015363	Homo sapiens	paternally expressed 3; PEG3 antisense RNA (non-protein coding); zinc finger, imprinted 2
ENSG00000204644	NM_001109809	Homo sapiens	zinc finger protein 57 homolog (mouse)
ENSG00000057657	NM_182907	Homo sapiens	PR domain containing 1, with ZNF domain
ENSG00000057657	NM_001198	Homo sapiens	PR domain containing 1, with ZNF domain
ENSG00000139352	NM_004316	Homo sapiens	achaete-scute complex homolog 1 (Drosophila)
ENSG00000147124	NM_153380	Homo sapiens	zinc finger protein 41
ENSG00000147124	NM_007130	Homo sapiens	zinc finger protein 41
ENSG00000126561	NM_003152	Homo sapiens	signal transducer and activator of transcription 5A
ENSG00000171448	NM_020924	Homo sapiens	zinc finger and BTB domain containing 26
ENSG00000126767	NM_005229	Homo sapiens	ELK1, member of ETS oncogene family
ENSG00000126767	NM_001114123	Homo sapiens	ELK1, member of ETS oncogene family
ENSG00000197134	NM_033468	Homo sapiens	zinc finger protein 257
ENSG00000185811	NM_006060	Homo sapiens	IKAROS family zinc finger 1 (Ikaros)
ENSG00000007866	NM_003214	Homo sapiens	TEA domain family member 3
ENSG00000153266	NM_018008	Homo sapiens	FEZ family zinc finger 2
ENSG00000170631	NM_001029976	Homo sapiens	zinc finger protein 16
ENSG00000170631	NM_006958	Homo sapiens	zinc finger protein 16
ENSG00000071655	NM_003926	Homo sapiens	methyl-CpG binding domain protein 3
ENSG00000066422	NM_014415	Homo sapiens	zinc finger and BTB domain containing 11
ENSG00000180318	NM_006982	Homo sapiens	ALX homeobox 1
ENSG00000004399	NM_015103	Homo sapiens	plexin D1
ENSG00000167182	NM_003110	Homo sapiens	Sp2 transcription factor
ENSG00000197863	NM_206894	Homo sapiens	zinc finger protein 790
ENSG00000066827	NM_020863	Homo sapiens	zinc finger and AT hook domain containing
ENSG00000066827	NM_001029939	Homo sapiens	zinc finger and AT hook domain containing
ENSG00000066827	NM_001167583	Homo sapiens	zinc finger and AT hook domain containing
ENSG00000186376	NM_007131	Homo sapiens	zinc finger protein 75D
ENSG00000188801	NM_199005	Homo sapiens	zinc finger protein 322B
ENSG00000164379	NM_033260	Homo sapiens	forkhead box Q1
ENSG00000196946	NM_001004328	Homo sapiens	zinc finger protein 705A
ENSG00000177888	NM_194314	Homo sapiens	zinc finger and BTB domain containing 41
ENSG00000075407	NM_001007094	Homo sapiens	zinc finger protein 37A
ENSG00000075407	NM_003421	Homo sapiens	zinc finger protein 37A
ENSG00000141040	NM_020653	Homo sapiens	zinc finger protein 287
ENSG00000170345	NM_005252	Homo sapiens	v-fos FBJ murine osteosarcoma viral oncogene homolog
ENSG00000141956	NM_001040424	Homo sapiens	PR domain containing 15
ENSG00000141956	NM_022115	Homo sapiens	PR domain containing 15
ENSG00000147117	NM_003446	Homo sapiens	zinc finger protein 157
ENSG00000147118	NM_006962	Homo sapiens	zinc finger protein 182
ENSG00000147118	NM_001007088	Homo sapiens	zinc finger protein 182
ENSG00000197808	NM_153257	Homo sapiens	zinc finger protein 461
ENSG00000185252	NM_003426	Homo sapiens	zinc finger protein 74
ENSG00000177683	NM_001130475	Homo sapiens	THAP domain containing 5
ENSG00000177683	NM_182529	Homo sapiens	THAP domain containing 5
ENSG00000102034	NM_001127197	Homo sapiens	E74-like factor 4 (ets domain transcription factor)
ENSG00000102034	NM_001421	Homo sapiens	E74-like factor 4 (ets domain transcription factor)
ENSG00000141946	NM_052882	Homo sapiens	zinc finger, imprinted 3
ENSG00000171469	NM_152289	Homo sapiens	zinc finger protein 561; zinc finger protein 812
ENSG00000171469	XM_001726949	Homo sapiens	zinc finger protein 561; zinc finger protein 812
ENSG00000171469	XM_001726943	Homo sapiens	zinc finger protein 561; zinc finger protein 812
ENSG00000171469	XM_001719513	Homo sapiens	zinc finger protein 561; zinc finger protein 812
ENSG00000011451	NM_021241	Homo sapiens	widely interspaced zinc finger motifs
ENSG00000131849	NM_003433	Homo sapiens	zinc finger protein 132
ENSG00000136451	NM_007146	Homo sapiens	vascular endothelial zinc finger 1
ENSG00000171466	NM_001130031	Homo sapiens	zinc finger protein 562
ENSG00000171466	NM_001130032	Homo sapiens	zinc finger protein 562
ENSG00000171466	NM_017656	Homo sapiens	zinc finger protein 562
ENSG00000131848	NM_024303	Homo sapiens	zinc finger and SCAN domain containing 5A
ENSG00000177494	NM_024508	Homo sapiens	zinc finger, BED-type containing 2
ENSG00000125285	NM_007084	Homo sapiens	SRY (sex determining region Y)-box 21
ENSG00000081386	NM_014930	Homo sapiens	zinc finger protein 510
ENSG00000158711	NM_021795	Homo sapiens	ELK4, ETS-domain protein (SRF accessory protein 1)
ENSG00000158711	NM_001973	Homo sapiens	ELK4, ETS-domain protein (SRF accessory protein 1)
ENSG00000131845	NM_020657	Homo sapiens	zinc finger protein 304
ENSG00000198556	NM_213603	Homo sapiens	zinc finger protein 789
ENSG00000198556	NM_001013258	Homo sapiens	zinc finger protein 789
ENSG00000198551	NM_145295	Homo sapiens	zinc finger protein 627
ENSG00000105419	NM_001009813	Homo sapiens	Meis homeobox 3; Meis homeobox 3 pseudogene 2
ENSG00000105419	NM_020160	Homo sapiens	Meis homeobox 3; Meis homeobox 3 pseudogene 2
ENSG00000172201	NM_001546	Homo sapiens	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
ENSG00000182111	XM_002346878	Homo sapiens	zinc finger protein 716
ENSG00000182111	XM_002345993	Homo sapiens	zinc finger protein 716
ENSG00000182111	NM_001159279	Homo sapiens	zinc finger protein 716
ENSG00000182111	XM_002344314	Homo sapiens	zinc finger protein 716
ENSG00000182111	XM_002342727	Homo sapiens	zinc finger protein 716
ENSG00000116604	NM_005920	Homo sapiens	myocyte enhancer factor 2D
ENSG00000198963	NM_006914	Homo sapiens	RAR-related orphan receptor B
ENSG00000061455	NM_001136239	Homo sapiens	PR domain containing 6
ENSG00000183647	NM_020880	Homo sapiens	zinc finger protein 530
ENSG00000170653	NM_001130060	Homo sapiens	activating transcription factor 7
ENSG00000170653	NM_006856	Homo sapiens	activating transcription factor 7
ENSG00000170653	NM_001130059	Homo sapiens	activating transcription factor 7
ENSG00000121903	NM_145238	Homo sapiens	zinc finger and SCAN domain containing 20
ENSG00000196967	NM_199126	Homo sapiens	zinc finger protein 585A
ENSG00000196967	NM_152655	Homo sapiens	zinc finger protein 585A
ENSG00000037965	NM_022658	Homo sapiens	homeobox C8
ENSG00000075426	NM_005253	Homo sapiens	FOS-like antigen 2
ENSG00000137871	NM_017661	Homo sapiens	zinc finger protein 280D
ENSG00000137871	NM_001002844	Homo sapiens	zinc finger protein 280D
ENSG00000137871	NM_001002843	Homo sapiens	zinc finger protein 280D
ENSG00000171476	NM_139211	Homo sapiens	HOP homeobox
ENSG00000171476	NM_139212	Homo sapiens	HOP homeobox
ENSG00000171476	NM_001145459	Homo sapiens	HOP homeobox
ENSG00000171476	NM_032495	Homo sapiens	HOP homeobox
ENSG00000171476	NM_001145460	Homo sapiens	HOP homeobox
ENSG00000102974	NM_006565	Homo sapiens	CCCTC-binding factor (zinc finger protein)
ENSG00000091010	NM_002700	Homo sapiens	POU class 4 homeobox 3
ENSG00000178764	NM_014943	Homo sapiens	zinc fingers and homeoboxes 2
ENSG00000169057	NM_001110792	Homo sapiens	methyl CpG binding protein 2 (Rett syndrome)
ENSG00000169057	NM_004992	Homo sapiens	methyl CpG binding protein 2 (Rett syndrome)
ENSG00000197162	NM_152458	Homo sapiens	zinc finger protein 688; zinc finger protein 785
ENSG00000197162	NM_145271	Homo sapiens	zinc finger protein 688; zinc finger protein 785
ENSG00000197162	NM_001024683	Homo sapiens	zinc finger protein 688; zinc finger protein 785
ENSG00000169926	NM_015995	Homo sapiens	Kruppel-like factor 13
ENSG00000205143	NM_001017363	Homo sapiens	AT rich interactive domain 3C (BRIGHT-like)
ENSG00000170365	NM_005900	Homo sapiens	SMAD family member 1
ENSG00000170365	NM_001003688	Homo sapiens	SMAD family member 1
ENSG00000141027	NM_006311	Homo sapiens	nuclear receptor co-repressor 1
ENSG00000136040	NM_005761	Homo sapiens	plexin C1
ENSG00000172216	NM_005194	Homo sapiens	CCAAT/enhancer binding protein (C/EBP), beta
ENSG00000152977	NM_003412	Homo sapiens	Zic family member 1 (odd-paired homolog, Drosophila)
ENSG00000100987	NM_014588	Homo sapiens	visual system homeobox 1
ENSG00000100987	NM_199425	Homo sapiens	visual system homeobox 1
ENSG00000215612	NM_018942	Homo sapiens	H6 family homeobox 1
ENSG00000127903	NM_001005850	Homo sapiens	zinc finger protein 835
ENSG00000163666	NM_003865	Homo sapiens	HESX homeobox 1
ENSG00000215421	NM_001146189	Homo sapiens	zinc finger protein 407
ENSG00000215421	NM_017757	Homo sapiens	zinc finger protein 407
ENSG00000215421	NM_001146190	Homo sapiens	zinc finger protein 407
ENSG00000153234	NM_006186	Homo sapiens	nuclear receptor subfamily 4, group A, member 2
ENSG00000181896	NM_033204	Homo sapiens	zinc finger protein 101
ENSG00000179922	NM_203374	Homo sapiens	zinc finger protein 784
ENSG00000182141	NM_021269	Homo sapiens	zinc finger protein 708
ENSG00000181894	NM_024620	Homo sapiens	zinc finger protein 329
ENSG00000170684	NM_145288	Homo sapiens	zinc finger protein 296
ENSG00000141568	NM_004514	Homo sapiens	forkhead box K2
ENSG00000139515	NM_000209	Homo sapiens	pancreatic and duodenal homeobox 1
ENSG00000106006	NM_024014	Homo sapiens	homeobox A6
ENSG00000106004	NM_019102	Homo sapiens	homeobox A5
ENSG00000122691	NM_000474	Homo sapiens	twist homolog 1 (Drosophila)
ENSG00000147789	NM_003416	Homo sapiens	zinc finger protein 7
ENSG00000198538	NM_006969	Homo sapiens	zinc finger protein 28
ENSG00000156273	NM_206866	Homo sapiens	BTB and CNC homology 1, basic leucine zipper transcription factor 1
ENSG00000156273	NM_001011545	Homo sapiens	BTB and CNC homology 1, basic leucine zipper transcription factor 1
ENSG00000156273	NM_001186	Homo sapiens	BTB and CNC homology 1, basic leucine zipper transcription factor 1
ENSG00000127081	NM_001007101	Homo sapiens	zinc finger protein 484
ENSG00000127081	NM_031486	Homo sapiens	zinc finger protein 484
ENSG00000186130	NM_006626	Homo sapiens	zinc finger and BTB domain containing 6
ENSG00000198939	NM_030613	Homo sapiens	zinc finger protein 2 homolog (mouse)
ENSG00000185630	NM_002585	Homo sapiens	pre-B-cell leukemia homeobox 1
ENSG00000196576	NM_012401	Homo sapiens	plexin B2
ENSG00000065029	NM_003427	Homo sapiens	zinc finger protein 76 (expressed in testis)
ENSG00000176542	NM_001009899	Homo sapiens	KIAA2018
ENSG00000136866	NM_003408	Homo sapiens	zinc finger protein 37 homolog (mouse)
ENSG00000179930	NM_001009992	Homo sapiens	zinc finger protein 648
ENSG00000148229	NM_017443	Homo sapiens	polymerase (DNA directed), epsilon 3 (p17 subunit)
ENSG00000166823	NM_018670	Homo sapiens	mesoderm posterior 1 homolog (mouse)
ENSG00000165030	NM_005384	Homo sapiens	nuclear factor, interleukin 3 regulated
ENSG00000006377	NM_005222	Homo sapiens	distal-less homeobox 6
ENSG00000169740	NM_006973	Homo sapiens	zinc finger protein 32
ENSG00000169740	NM_001005368	Homo sapiens	zinc finger protein 32
ENSG00000162761	NM_177399	Homo sapiens	LIM homeobox transcription factor 1, alpha
ENSG00000162761	NM_177398	Homo sapiens	LIM homeobox transcription factor 1, alpha
ENSG00000162761	NM_001033507	Homo sapiens	LIM homeobox transcription factor 1, alpha
ENSG00000101665	NM_005904	Homo sapiens	SMAD family member 7
ENSG00000108064	NM_003201	Homo sapiens	transcription factor A, mitochondrial
ENSG00000135747	NM_033213	Homo sapiens	zinc finger protein 670
ENSG00000169260	NM_001010877	Homo sapiens	zinc finger protein 311
ENSG00000102908	NM_001113178	Homo sapiens	nuclear factor of activated T-cells 5, tonicity-responsive
ENSG00000102908	NM_138714	Homo sapiens	nuclear factor of activated T-cells 5, tonicity-responsive
ENSG00000102908	NM_006599	Homo sapiens	nuclear factor of activated T-cells 5, tonicity-responsive
ENSG00000102908	NM_173214	Homo sapiens	nuclear factor of activated T-cells 5, tonicity-responsive
ENSG00000102908	NM_138713	Homo sapiens	nuclear factor of activated T-cells 5, tonicity-responsive
ENSG00000143867	NM_145260	Homo sapiens	odd-skipped related 1 (Drosophila)
ENSG00000132130	NM_005568	Homo sapiens	LIM homeobox 1
ENSG00000196724	NM_133460	Homo sapiens	zinc finger protein 418
ENSG00000120784	NM_014898	Homo sapiens	zinc finger protein 30 homolog (mouse)
ENSG00000188095	NM_001039958	Homo sapiens	mesoderm posterior 2 homolog (mouse)
ENSG00000172238	NM_005172	Homo sapiens	atonal homolog 1 (Drosophila)
ENSG00000149922	NM_004608	Homo sapiens	T-box 6
ENSG00000198795	NM_015461	Homo sapiens	zinc finger protein 521
ENSG00000135164	NM_021145	Homo sapiens	cyclin D binding myb-like transcription factor 1
ENSG00000135164	NM_001142326	Homo sapiens	cyclin D binding myb-like transcription factor 1
ENSG00000135164	NM_001142327	Homo sapiens	cyclin D binding myb-like transcription factor 1
ENSG00000135547	XM_001724587	Homo sapiens	hypothetical LOC100129733; hairy/enhancer-of-split related with YRPW motif 2
ENSG00000135547	XM_001723812	Homo sapiens	hypothetical LOC100129733; hairy/enhancer-of-split related with YRPW motif 2
ENSG00000135547	NM_012259	Homo sapiens	hypothetical LOC100129733; hairy/enhancer-of-split related with YRPW motif 2
ENSG00000135547	XM_001726540	Homo sapiens	hypothetical LOC100129733; hairy/enhancer-of-split related with YRPW motif 2
ENSG00000181827	NM_022841	Homo sapiens	regulatory factor X, 7
ENSG00000135373	NM_012153	Homo sapiens	ets homologous factor
ENSG00000178573	NM_005360	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
ENSG00000178573	NM_001031804	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
ENSG00000072364	NM_014423	Homo sapiens	AF4/FMR2 family, member 4
ENSG00000152784	NM_001099403	Homo sapiens	PR domain containing 8
ENSG00000152784	NM_020226	Homo sapiens	PR domain containing 8
ENSG00000112658	NM_003131	Homo sapiens	serum response factor (c-fos serum response element-binding transcription factor)
ENSG00000116833	NM_003822	Homo sapiens	nuclear receptor subfamily 5, group A, member 2
ENSG00000116833	NM_205860	Homo sapiens	nuclear receptor subfamily 5, group A, member 2
ENSG00000170802	NM_002158	Homo sapiens	forkhead box N2
ENSG00000029153	NM_020183	Homo sapiens	aryl hydrocarbon receptor nuclear translocator-like 2
ENSG00000182158	NM_194071	Homo sapiens	cAMP responsive element binding protein 3-like 2
ENSG00000188868	NM_145276	Homo sapiens	zinc finger protein 563
ENSG00000162367	NM_003189	Homo sapiens	T-cell acute lymphocytic leukemia 1
ENSG00000196705	NM_133473	Homo sapiens	zinc finger protein 431
ENSG00000118156	NM_001101419	Homo sapiens	zinc finger protein 541
ENSG00000131408	NM_007121	Homo sapiens	nuclear receptor subfamily 1, group H, member 2
ENSG00000185697	NM_001080416	Homo sapiens	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
ENSG00000185697	NM_001144755	Homo sapiens	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
ENSG00000049618	NM_175863	Homo sapiens	AT rich interactive domain 1B (SWI1-like)
ENSG00000049618	NM_020732	Homo sapiens	AT rich interactive domain 1B (SWI1-like)
ENSG00000049618	NM_017519	Homo sapiens	AT rich interactive domain 1B (SWI1-like)
ENSG00000213676	NM_004381	Homo sapiens	activating transcription factor 6 beta
ENSG00000213676	NM_001136153	Homo sapiens	activating transcription factor 6 beta
ENSG00000172845	NM_001017371	Homo sapiens	Sp3 transcription factor
ENSG00000172845	NM_003111	Homo sapiens	Sp3 transcription factor
ENSG00000179456	NM_205768	Homo sapiens	zinc finger protein 238
ENSG00000179456	NM_006352	Homo sapiens	zinc finger protein 238
ENSG00000171940	NM_006526	Homo sapiens	zinc finger protein 217
ENSG00000165512	NM_006963	Homo sapiens	zinc finger protein 22 (KOX 15)
ENSG00000135374	NM_198381	Homo sapiens	E74-like factor 5 (ets domain transcription factor)
ENSG00000135374	NM_001422	Homo sapiens	E74-like factor 5 (ets domain transcription factor)
ENSG00000182568	NM_001131010	Homo sapiens	SATB homeobox 1
ENSG00000182568	NM_002971	Homo sapiens	SATB homeobox 1
ENSG00000170100	NM_182531	Homo sapiens	zinc finger protein 778
ENSG00000122034	NM_002097	Homo sapiens	general transcription factor IIIA
ENSG00000105229	NM_015897	Homo sapiens	protein inhibitor of activated STAT, 4
ENSG00000174197	NM_001080541	Homo sapiens	MAX gene associated
ENSG00000174197	NM_001164273	Homo sapiens	MAX gene associated
ENSG00000087510	NM_003222	Homo sapiens	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)
ENSG00000117707	NM_002763	Homo sapiens	prospero homeobox 1
ENSG00000143842	NM_005686	Homo sapiens	SRY (sex determining region Y)-box 13
ENSG00000163623	NM_006168	Homo sapiens	NK6 homeobox 1
ENSG00000172059	NM_003597	Homo sapiens	Kruppel-like factor 11
ENSG00000176302	NM_181721	Homo sapiens	forkhead box R1
ENSG00000064835	NM_000306	Homo sapiens	POU class 1 homeobox 1
ENSG00000064835	NM_001122757	Homo sapiens	POU class 1 homeobox 1
ENSG00000205189	NM_001105539	Homo sapiens	zinc finger and BTB domain containing 10
ENSG00000205189	NM_023929	Homo sapiens	zinc finger and BTB domain containing 10
ENSG00000181444	NM_207336	Homo sapiens	zinc finger protein 467
ENSG00000183434	NM_016521	Homo sapiens	transcription factor Dp family, member 3
