From	To	Species	Gene Name
ENSMUSG00000042207	NM_152895	Mus musculus	lysine (K)-specific demethylase 5B
ENSMUSG00000003032	NM_010637	Mus musculus	Kruppel-like factor 4 (gut)
ENSMUSG00000075588	NM_134032	Mus musculus	homeo box B2
ENSMUSG00000040929	NM_011265	Mus musculus	regulatory factor X, 3 (influences HLA class II expression); similar to Regulatory factor X, 3 (influences HLA class II expression)
ENSMUSG00000040929	NM_001166414	Mus musculus	regulatory factor X, 3 (influences HLA class II expression); similar to Regulatory factor X, 3 (influences HLA class II expression)
ENSMUSG00000040929	XM_001479718	Mus musculus	regulatory factor X, 3 (influences HLA class II expression); similar to Regulatory factor X, 3 (influences HLA class II expression)
ENSMUSG00000040929	XM_001479722	Mus musculus	regulatory factor X, 3 (influences HLA class II expression); similar to Regulatory factor X, 3 (influences HLA class II expression)
ENSMUSG00000022228	NM_001013786	Mus musculus	zinc finger protein 187
ENSMUSG00000015619	NM_008091	Mus musculus	GATA binding protein 3
ENSMUSG00000007946	NM_008887	Mus musculus	paired-like homeobox 2a
ENSMUSG00000002617	NM_009555	Mus musculus	zinc finger protein 40
ENSMUSG00000028807	NM_028603	Mus musculus	zinc finger and BTB domain containing 8a
ENSMUSG00000040481	NM_176850	Mus musculus	bromodomain PHD finger transcription factor
ENSMUSG00000063047	NM_001081021	Mus musculus	zinc finger protein 780B
ENSMUSG00000052942	NM_175459	Mus musculus	GLIS family zinc finger 3
ENSMUSG00000037992	NM_009024	Mus musculus	retinoic acid receptor, alpha
ENSMUSG00000005718	NM_031182	Mus musculus	transcription factor AP4
ENSMUSG00000053347	NM_001025373	Mus musculus	RIKEN cDNA 4930432O21 gene; hypothetical protein LOC100044277
ENSMUSG00000053347	XM_001471515	Mus musculus	RIKEN cDNA 4930432O21 gene; hypothetical protein LOC100044277
ENSMUSG00000053347	XM_001471514	Mus musculus	RIKEN cDNA 4930432O21 gene; hypothetical protein LOC100044277
ENSMUSG00000046541	NM_175436	Mus musculus	zinc finger protein 526
ENSMUSG00000033237	NM_175251	Mus musculus	AT rich interactive domain 2 (ARID, RFX-like); RIKEN cDNA 1700124K17 gene
ENSMUSG00000038331	NM_139146	Mus musculus	special AT-rich sequence binding protein 2
ENSMUSG00000040489	NM_173384	Mus musculus	SRY-box containing gene 30
ENSMUSG00000029644	NM_008814	Mus musculus	pancreatic and duodenal homeobox 1
ENSMUSG00000042406	NM_009716	Mus musculus	activating transcription factor 4
ENSMUSG00000029646	NM_007673	Mus musculus	caudal type homeo box 2
ENSMUSG00000033863	XM_001479552	Mus musculus	Kruppel-like factor 9
ENSMUSG00000033863	NM_010638	Mus musculus	Kruppel-like factor 9
ENSMUSG00000055633	XM_920440	Mus musculus	zinc finger protein 580
ENSMUSG00000055633	NM_026900	Mus musculus	zinc finger protein 580
ENSMUSG00000055633	XM_900964	Mus musculus	zinc finger protein 580
ENSMUSG00000015217	NM_008253	Mus musculus	predicted gene 11805; predicted gene 8850; high mobility group box 3; similar to High mobility group protein 4 (HMG-4) (High mobility group protein 2a) (HMG-2a)
ENSMUSG00000015217	XM_905344	Mus musculus	predicted gene 11805; predicted gene 8850; high mobility group box 3; similar to High mobility group protein 4 (HMG-4) (High mobility group protein 2a) (HMG-2a)
ENSMUSG00000015217	XM_886264	Mus musculus	predicted gene 11805; predicted gene 8850; high mobility group box 3; similar to High mobility group protein 4 (HMG-4) (High mobility group protein 2a) (HMG-2a)
ENSMUSG00000033669	NM_145916	Mus musculus	zinc finger protein 7
ENSMUSG00000053747	XM_284529	Mus musculus	SRY-box containing gene 14
ENSMUSG00000053747	NM_011440	Mus musculus	SRY-box containing gene 14
ENSMUSG00000053747	XM_907434	Mus musculus	SRY-box containing gene 14
ENSMUSG00000025255	NM_030708	Mus musculus	zinc finger homeodomain 4
ENSMUSG00000035158	NM_001113198	Mus musculus	microphthalmia-associated transcription factor
ENSMUSG00000035158	NM_008601	Mus musculus	microphthalmia-associated transcription factor
ENSMUSG00000079466	NM_001123362	Mus musculus	PR domain containing 12
ENSMUSG00000079466	XM_914950	Mus musculus	PR domain containing 12
ENSMUSG00000079466	XM_355325	Mus musculus	PR domain containing 12
ENSMUSG00000038765	NM_010725	Mus musculus	LIM homeobox transcription factor 1 beta
ENSMUSG00000027547	NM_201395	Mus musculus	sal-like 4 (Drosophila)
ENSMUSG00000027547	NM_175303	Mus musculus	sal-like 4 (Drosophila)
ENSMUSG00000027547	NM_201396	Mus musculus	sal-like 4 (Drosophila)
ENSMUSG00000022010	NM_207652	Mus musculus	TSC22 domain family, member 1
ENSMUSG00000022010	NM_009366	Mus musculus	TSC22 domain family, member 1
ENSMUSG00000015605	NM_020493	Mus musculus	serum response factor
ENSMUSG00000054381	XM_914969	Mus musculus	similar to zinc finger protein HIT-39; zinc finger protein 747
ENSMUSG00000054381	NM_175560	Mus musculus	similar to zinc finger protein HIT-39; zinc finger protein 747
ENSMUSG00000027544	NM_010899	Mus musculus	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
ENSMUSG00000027544	NM_001136073	Mus musculus	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
ENSMUSG00000027544	NM_001037177	Mus musculus	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
ENSMUSG00000027544	NM_001037178	Mus musculus	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
ENSMUSG00000037984	NM_009717	Mus musculus	neurogenic differentiation 6
ENSMUSG00000046532	NM_013476	Mus musculus	androgen receptor
ENSMUSG00000055228	NM_001136496	Mus musculus	RIKEN cDNA 8430426H19 gene
ENSMUSG00000055228	NM_178875	Mus musculus	RIKEN cDNA 8430426H19 gene
ENSMUSG00000048728	NM_172794	Mus musculus	zinc finger protein 454
ENSMUSG00000019338	NM_030074	Mus musculus	zinc finger protein 687
ENSMUSG00000059975	NM_178384	Mus musculus	zinc finger protein 74; hypothetical protein LOC100044255
ENSMUSG00000059975	XM_001471884	Mus musculus	zinc finger protein 74; hypothetical protein LOC100044255
ENSMUSG00000038342	NM_133917	Mus musculus	MLX interacting protein
ENSMUSG00000038342	NM_177582	Mus musculus	MLX interacting protein
ENSMUSG00000060601	NM_009473	Mus musculus	nuclear receptor subfamily 1, group H, member 2
ENSMUSG00000040478	NM_001080771	Mus musculus	PR domain containing 13
ENSMUSG00000042002	NM_148935	Mus musculus	forkhead box N4
ENSMUSG00000067916	NM_027285	Mus musculus	predicted gene 13251; predicted gene, OTTMUSG00000010657; RIKEN cDNA 1700029I01 gene
ENSMUSG00000067916	XM_485487	Mus musculus	predicted gene 13251; predicted gene, OTTMUSG00000010657; RIKEN cDNA 1700029I01 gene
ENSMUSG00000067916	NM_001083918	Mus musculus	predicted gene 13251; predicted gene, OTTMUSG00000010657; RIKEN cDNA 1700029I01 gene
ENSMUSG00000067916	NM_001085522	Mus musculus	predicted gene 13251; predicted gene, OTTMUSG00000010657; RIKEN cDNA 1700029I01 gene
ENSMUSG00000075595	NM_201609	Mus musculus	zinc finger protein 652
ENSMUSG00000038346	NM_175557	Mus musculus	zinc finger protein 384
ENSMUSG00000028023	NM_011098	Mus musculus	paired-like homeodomain transcription factor 2
ENSMUSG00000028023	NM_001042504	Mus musculus	paired-like homeodomain transcription factor 2
ENSMUSG00000028023	NM_001042502	Mus musculus	paired-like homeodomain transcription factor 2
ENSMUSG00000067919	NM_009051	Mus musculus	hypothetical protein LOC100048814; predicted gene 13138; reduced expression 2; predicted gene 13164
ENSMUSG00000067919	XM_001471620	Mus musculus	hypothetical protein LOC100048814; predicted gene 13138; reduced expression 2; predicted gene 13164
ENSMUSG00000067919	XM_001002500	Mus musculus	hypothetical protein LOC100048814; predicted gene 13138; reduced expression 2; predicted gene 13164
ENSMUSG00000040289	NM_010423	Mus musculus	hairy/enhancer-of-split related with YRPW motif 1
ENSMUSG00000038560	NM_031183	Mus musculus	trans-acting transcription factor 6
ENSMUSG00000056216	NM_009884	Mus musculus	CCAAT/enhancer binding protein (C/EBP), gamma
ENSMUSG00000047407	NM_001164074	Mus musculus	TGFB-induced factor homeobox 1
ENSMUSG00000047407	NM_009372	Mus musculus	TGFB-induced factor homeobox 1
ENSMUSG00000047407	NM_001164075	Mus musculus	TGFB-induced factor homeobox 1
ENSMUSG00000047407	NM_001164076	Mus musculus	TGFB-induced factor homeobox 1
ENSMUSG00000047407	NM_001164077	Mus musculus	TGFB-induced factor homeobox 1
ENSMUSG00000078867	XM_001004338	Mus musculus	predicted gene 14418
ENSMUSG00000003051	NM_001163131	Mus musculus	E74-like factor 3
ENSMUSG00000003051	NM_007921	Mus musculus	E74-like factor 3
ENSMUSG00000028417	NM_009317	Mus musculus	T-cell acute lymphocytic leukemia 2
ENSMUSG00000035877	NM_177263	Mus musculus	zinc fingers and homeoboxes 3
ENSMUSG00000002325	NM_008394	Mus musculus	interferon regulatory factor 9
ENSMUSG00000002325	NM_001159418	Mus musculus	interferon regulatory factor 9
ENSMUSG00000002325	NM_001159417	Mus musculus	interferon regulatory factor 9
ENSMUSG00000056493	NM_199068	Mus musculus	forkhead box K1
ENSMUSG00000055210	NM_008593	Mus musculus	forkhead box D2
ENSMUSG00000025469	NM_010836	Mus musculus	homeobox, msh-like 3
ENSMUSG00000062862	NM_019940	Mus musculus	zinc finger protein 111
ENSMUSG00000062861	XM_001475970	Mus musculus	zinc finger protein 28; predicted gene 3203
ENSMUSG00000062861	XM_001475758	Mus musculus	zinc finger protein 28; predicted gene 3203
ENSMUSG00000062861	NM_175247	Mus musculus	zinc finger protein 28; predicted gene 3203
ENSMUSG00000052763	NM_001145881	Mus musculus	Zinc finger protein 212
ENSMUSG00000052763	NM_145576	Mus musculus	Zinc finger protein 212
ENSMUSG00000037188	NM_001013756	Mus musculus	grainyhead-like 3 (Drosophila)
ENSMUSG00000071477	NM_001081382	Mus musculus	zinc finger protein 777
ENSMUSG00000078861	NM_001162922	Mus musculus	RIKEN cDNA 2810021G02 gene
ENSMUSG00000041540	NM_001113559	Mus musculus	SRY-box containing gene 5
ENSMUSG00000041540	NM_011444	Mus musculus	SRY-box containing gene 5
ENSMUSG00000078862	XM_001481339	Mus musculus	similar to zinc finger protein 709
ENSMUSG00000067928	XM_001471479	Mus musculus	zinc finger protein 760; hypothetical protein LOC100044275
ENSMUSG00000067928	NM_001008501	Mus musculus	zinc finger protein 760; hypothetical protein LOC100044275
ENSMUSG00000078863	NM_001164689	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001480586	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001480607	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	NM_001101804	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001480913	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	NM_001113806	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001481229	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	NM_001100416	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	NM_001100415	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_902710	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001472180	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001487779	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	NM_001099327	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001472096	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001481230	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_902322	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	NM_001099349	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001004273	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001480593	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_902680	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001480589	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000078863	XM_001480597	Mus musculus	predicted gene 2007; predicted gene 4724; predicted gene 14410; predicted gene, OTTMUSG00000016609; RIKEN cDNA 0610010B08 gene; RIKEN cDNA 3100002L24 gene; predicted gene 14308; predicted gene 14326; predicted gene 14434; predicted gene, 100043387; predicted gene 4631; predicted gene 14430
ENSMUSG00000079994	NM_009233	Mus musculus	SRY-box containing gene 1
ENSMUSG00000012350	NM_007914	Mus musculus	ets homologous factor
